Price,Close,High,Low,Open,Volume
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
Date,,,,,
2019-07-03,1879.6690673828125,1897.4355982756276,1874.923040464948,1891.8913889723024,1656881
2019-07-04,1883.868896484375,1891.7231577024513,1873.3268200403313,1876.6028127474583,984140
2019-07-05,1817.045654296875,1890.0432423805805,1797.6411283086409,1887.523184724073,4088470
2019-07-08,1827.377685546875,1838.6340658759464,1791.0050182551154,1805.2012607012134,2788062
2019-07-09,1792.0546875,1826.5373047656858,1767.8620983139251,1826.201379185329,3977224
2019-07-10,1770.9283447265625,1787.4348442015603,1739.9317198846613,1747.2398455296916,6343581
2019-07-11,1766.1820068359375,1788.4004685878906,1752.3216931996294,1787.5604495796294,2400346
2019-07-12,1770.4244384765625,1780.6305890923265,1758.2441608297463,1765.804333162253,1560725
2019-07-15,1802.4290771484375,1809.0653515862462,1762.3602040873216,1785.04072148978,2900415
2019-07-16,1773.212158203125,1795.5246568699733,1768.1602717125177,1790.0517798384822,2735399
2019-07-17,1782.6845703125,1789.2099241535304,1761.508826846651,1774.8962447603024,1802969
2019-07-18,1739.4908447265625,1781.8003957870458,1734.481098200914,1781.8003957870458,3072096
2019-07-19,1748.752685546875,1765.6344484963126,1736.5860992005937,1748.7948257161856,1953177
2019-07-22,1776.496337890625,1782.8533380872504,1741.8910283319854,1748.795234172052,1920167
2019-07-23,1778.64306640625,1793.4198769270952,1770.181114606979,1791.6516342603315,3538588
2019-07-24,1765.4659423828125,1785.6734879906392,1748.3736856105022,1776.5800513547604,2413196
2019-07-25,1791.6513671875,1797.6295147775131,1761.8874608536598,1775.6537274775362,2544464
2019-07-26,1775.780517578125,1793.2516277398872,1763.9506404285198,1793.2516277398872,1720592
2019-07-29,1793.419921875,1803.5236960827465,1770.9390653751266,1777.253924254968,1647090
2019-07-30,1834.8028564453125,1839.728527634168,1785.3786117123004,1793.4195715609965,2851672
2019-07-31,1857.158203125,1862.2100911720709,1807.8601544866299,1828.5729777043607,3000677
2019-08-01,1835.561279296875,1867.093436239604,1823.9418968451148,1852.3587642512418,2375236
2019-08-02,1856.8211669921875,1860.7784374889638,1823.3102743811544,1829.6251333319087,2500816
2019-08-05,1893.2786865234375,1896.3518351560097,1848.6536905135504,1852.2740446083235,3039682
2019-08-06,1864.904296875,1896.0997451143921,1861.9995025059043,1879.9758854637569,2885467
2019-08-07,1863.6829833984375,1884.7746505985742,1858.4627418064342,1877.6178114071122,2165362
2019-08-08,1901.278076171875,1920.5593659241933,1868.2722444079645,1876.692057498382,2073298
2019-08-09,1891.30029296875,1909.5291039405827,1887.1746672644638,1902.8775346062882,1744550
2019-08-13,1851.8951416015625,1891.2998950515525,1847.5590215070672,1890.2474187604832,1647281
2019-08-14,1856.0631103515625,1867.387920936072,1824.9098087160505,1836.4451145818814,1945002
2019-08-16,1822.9732666015625,1887.2162567260389,1804.5758983029345,1887.2162567260389,3755507
2019-08-19,1821.2052001953125,1840.570766355503,1816.7426590547345,1835.5188795311055,974884
2019-08-20,1841.202392578125,1856.5685495071525,1824.1522732459166,1828.7831698546645,1843611
2019-08-21,1840.739013671875,1854.0423559760684,1837.413229486274,1839.6865373117614,1214408
2019-08-22,1865.8302001953125,1882.3750473179919,1827.0990678807889,1841.4127472144173,2131601
2019-08-23,1892.521240234375,1902.7933705116204,1864.0622324852156,1864.9463539220976,2826425
2019-08-26,1916.6021728515625,1921.4014253959658,1873.4084888282314,1891.9320783806902,2345475
2019-08-27,1883.090576171875,1915.3806309412716,1876.7757184382335,1911.2969407154733,3432106
2019-08-28,1885.40625,1896.2677243790536,1865.830188679245,1886.0377358490564,1294621
2019-08-29,1880.52294921875,1892.9421724417386,1871.0506603198603,1871.0506603198603,1670652
2019-08-30,1902.540771484375,1907.9293688539417,1867.5142718967531,1886.8798391887392,2583625
2019-09-03,1895.8048095703125,1933.3570449290987,1883.4696625808901,1911.2971802604789,2545060
2019-09-04,1890.584716796875,1911.2975388701595,1880.1442309678707,1907.0876323968773,2228092
2019-09-05,1865.2410888671875,1897.5309462015116,1858.505238922693,1887.8903020808193,2055943
2019-09-06,1850.25341796875,1880.5647367614122,1846.1277929133523,1865.830067903868,1890550
2019-09-09,1837.919189453125,1854.7588175286078,1835.3511050592406,1852.359088303105,1703945
2019-09-11,1813.6275634765625,1848.148793793433,1807.3548444459836,1840.5709627482663,2627440
2019-09-12,1796.4510498046875,1822.8891754830463,1785.2947996545026,1814.4693640489445,2118859
2019-09-13,1803.4814453125,1816.9531434300086,1781.2532256433306,1797.6297175550671,2291174
2019-09-16,1810.2598876953125,1829.962168899442,1790.3890457730793,1818.6375609469276,2597948
2019-09-17,1787.2308349609375,1815.774113360107,1772.875223781762,1814.4268615749488,2796530
2019-09-18,1800.61865234375,1804.3232868146565,1779.232209900146,1790.3884590403654,1454663
2019-09-19,1769.8023681640625,1798.303514426473,1760.582715001312,1797.6298883442378,1652691
2019-09-20,1739.0697021484375,1792.9143486738983,1731.9550034556398,1772.2858131441642,6941979
2019-09-23,1697.2657470703125,1767.3185419216861,1662.9128729372703,1767.3185419216861,6323401
2019-09-24,1721.5986328125,1735.322965207184,1694.9078743144403,1696.5918364349714,4620978
2019-09-25,1758.435791015625,1761.4248657194385,1734.5236045087968,1738.6913707985852,4002232
2019-09-26,1757.7197265625,1774.0540767482848,1737.0069104564363,1766.3919669495767,4234281
2019-09-27,1731.239501953125,1755.6990960749301,1727.2400913922006,1755.5307409531476,2046795
2019-09-30,1767.5712890625,1771.528559847131,1734.4813846412023,1736.0391321870927,2620039
2019-10-01,1734.4390869140625,1764.750409329146,1717.388968055578,1764.750409329146,3342877
2019-10-03,1734.691650390625,1752.2889740599287,1722.8197368269132,1742.900966537359,2317618
2019-10-04,1750.7734375,1758.0143514367721,1730.2289758510917,1734.9862922808636,2163251
2019-10-07,1724.124755859375,1763.529514702984,1718.4835232794414,1751.320788055482,2177916
2019-10-09,1700.8863525390625,1734.4814259572331,1697.013259231458,1734.4814259572331,2066920
2019-10-10,1687.708740234375,1716.8413644704035,1681.5202005656026,1707.5374334960532,2881452
2019-10-11,1672.89013671875,1679.7523032757802,1620.8136259678581,1625.8655125942514,12593069
2019-10-14,1701.6439208984375,1711.5371995083121,1657.0189195092157,1679.7524107829702,3510704
2019-10-15,1715.3685302734375,1723.5357077076078,1703.0755211642215,1710.9059883057446,2261310
2019-10-16,1723.0301513671875,1731.1131494074632,1697.4339052555672,1715.95748953911,3034082
2019-10-17,1748.4700927734375,1754.539567563526,1721.2222978904,1733.8776688287248,3818774
2019-10-18,1771.198486328125,1776.8372952802138,1743.347881772978,1754.109288450589,3087901
2019-10-22,1766.0758056640625,1817.8167306136459,1756.3045749699033,1790.697987059618,5552505
2019-10-23,1782.1748046875,1794.0123499309389,1767.0226627024235,1773.479505562481,2348134
2019-10-24,1792.41943359375,1807.0549428978295,1774.5985907719871,1794.1412582177593,2798671
2019-10-25,1829.3955078125,1833.7431568643333,1786.4360691030868,1802.7503147764853,3954245
2019-10-27,1821.4324951171875,1832.882673158159,1815.4922830681774,1832.882673158159,224405
2019-10-29,1889.573974609375,1895.4710994047464,1826.4259556561403,1826.4259556561403,5064173
2019-10-30,1939.463623046875,1945.6621506937602,1874.0773640459208,1915.5302147316886,5195136
2019-10-31,1953.9693603515625,1967.1413595181157,1925.8606600924263,1937.0525190916226,4879261
2019-11-01,1894.7823486328125,1958.5760527088196,1889.7030486575204,1949.106014651766,4172620
2019-11-04,1888.7987060546875,1919.1458679636748,1877.5637572686649,1900.0336548407101,2646411
2019-11-05,1895.599853515625,1903.4771170772804,1867.3188000636005,1891.424344739387,2693475
2019-11-06,1884.10693359375,1903.3053236401515,1875.9282651591416,1894.0074269619604,2540719
2019-11-07,1881.39501953125,1897.8814081115881,1872.6566324583061,1897.8814081115881,1915598
2019-11-08,1833.7003173828125,1885.053867958097,1828.5779306589948,1885.053867958097,2788759
2019-11-11,1808.7342529296875,1841.4920188168228,1800.1682147480021,1838.0483684777544,2983768
2019-11-13,1875.5841064453125,1880.060809527605,1823.4127234845878,1823.4127234845878,3823365
2019-11-14,1891.2529296875,1894.0078080988937,1848.1211223477478,1883.2464000983318,2995915
2019-11-15,1872.0113525390625,1903.9082062610798,1867.1041927780768,1890.5640610216283,2724180
2019-11-18,1853.20068359375,1883.4616796434182,1849.8860857656473,1875.4120621658863,1611089
2019-11-19,1815.4923095703125,1854.965021314036,1812.2208000560338,1853.544599772276,2975313
2019-11-20,1815.27685546875,1838.047946065944,1803.1809943958406,1826.812997379951,2894129
2019-11-21,1823.4989013671875,1830.8166578220275,1814.286969212353,1818.2472508966962,2052574
2019-11-22,1783.552490234375,1813.94274532763,1773.9103116979504,1805.333619815871,3742049
2019-11-25,1791.9891357421875,1794.959241444249,1766.764360735358,1786.005836681924,2737010
2019-11-26,1761.986328125,1806.1079821220173,1751.9997656227679,1799.1778056706173,6561580
2019-11-27,1768.572509765625,1783.5523025058906,1761.9004381962832,1766.5923690695954,2907521
2019-11-28,1788.416259765625,1803.0946464099154,1773.4793472095914,1779.5488209928433,2924429
2019-11-29,1767.6688232421875,1795.0027987142146,1761.2550663099096,1795.0027987142146,2064271
2019-12-02,1739.9471435546875,1780.1086251454958,1735.599493659326,1773.4796413383988,3809860
2019-12-03,1765.7313232421875,1775.201359593072,1730.4339150252545,1745.6720223894852,4664774
